Gen_Index,commit_init,time_up_init,time_down_init
Roanoke Rapids 3,0,0,100
Roanoke Rapids 4,0,0,100
Roanoke Rapids 2,0,0,100
Buxton 3,0,0,100
Buxton 1,0,0,100
Buxton 2,0,0,100
Buxton 5,0,0,100
Buxton 4,0,0,100
Cardinal 1,0,0,100
Cardinal 3,0,0,100
Cardinal 2,0,0,100
Beckjord 5,0,0,100
Beckjord GT 4,0,0,100
Beckjord GT 1,0,0,100
Beckjord 6,0,0,100
Beckjord 4,0,0,100
Beckjord GT 3,0,0,100
Beckjord GT 2,0,0,100
Dicks Creek 5,0,0,100
Dicks Creek 4,0,0,100
Dicks Creek 3,0,0,100
Dicks Creek 1,0,0,100
Miami Fort 6,0,0,100
Miami Fort GT 4,0,0,100
Miami Fort GT 3,0,0,100
Miami Fort 7,0,0,100
Miami Fort GT 5,0,0,100
Miami Fort 8,0,0,100
Miami Fort GT 6,0,0,100
Ashtabula 5,0,0,100
Avon Lake 7,0,0,100
Avon Lake 10,0,0,100
Avon Lake 9,0,0,100
Eastlake 2,0,0,100
Eastlake 6 CT,0,0,100
Eastlake 3,0,0,100
Eastlake 1,0,0,100
Lake Shore D2,0,0,100
Lake Shore 18,0,0,100
Lake Shore D1,0,0,100
Conesville 6,0,0,100
Conesville 4,0,0,100
Conesville 5,0,0,100
Picway 5,0,0,100
Tait GT 2,0,0,100
Tait GT 3,0,0,100
Tait GT 1,0,0,100
Tait D 4,0,0,100
Tait D 1,0,0,100
Tait D 3,0,0,100
Tait D 2,0,0,100
Hutchings CT 7,0,0,100
Hutchings 3,0,0,100
Hutchings 6,0,0,100
Hutchings 1,0,0,100
Hutchings 2,0,0,100
Hutchings 5,0,0,100
Stuart 1,0,0,100
Stuart 4,0,0,100
Stuart 2,0,0,100
Stuart D 2,0,0,100
Stuart D 1,0,0,100
Stuart 3,0,0,100
Stuart D 4,0,0,100
Stuart D 3,0,0,100
Monument D 3,0,0,100
Monument D 5,0,0,100
Monument D 2,0,0,100
Monument D 1,0,0,100
Monument D 4,0,0,100
Sidney D 3,0,0,100
Sidney D 2,0,0,100
Sidney D 4,0,0,100
Sidney D 1,0,0,100
Sidney D 5,0,0,100
Yankee GT 4,0,0,100
Yankee GT 7,0,0,100
Yankee GT 5,0,0,100
Yankee GT 2,0,0,100
Yankee GT 1,0,0,100
Yankee GT 6,0,0,100
Yankee GT 3,0,0,100
Niles CT A,0,0,100
Burger B2,0,0,100
Burger B1,0,0,100
Burger A,0,0,100
Sammis B2,0,0,100
Sammis B3,0,0,100
Sammis 3,0,0,100
Sammis 6,0,0,100
Sammis 2,0,0,100
Sammis 1,0,0,100
Sammis A,0,0,100
Sammis 5,0,0,100
Sammis B1,0,0,100
Sammis 4,0,0,100
Sammis B4,0,0,100
Sammis 7,0,0,100
West Lorain 2,0,0,100
West Lorain A (Beaver),0,0,100
West Lorain 4,0,0,100
West Lorain B (Beaver),0,0,100
West Lorain 5,0,0,100
West Lorain 3,0,0,100
West Lorain 6,0,0,100
Muskigum Rv 1,0,0,100
Muskigum Rv 2,0,0,100
Muskigum Rv 4,0,0,100
Muskigum Rv 5,0,0,100
Muskigum Rv 3,0,0,100
Kyger Creek 5,0,0,100
Kyger Creek 1,0,0,100
Kyger Creek 3,0,0,100
Kyger Creek 2,0,0,100
Kyger Creek 4,0,0,100
Bay Shore 1,0,0,100
Bay Shore CT,0,0,100
Richland 6,0,0,100
Richland 2,0,0,100
Richland 5,0,0,100
Richland 4,0,0,100
Richland 3,0,0,100
Richland 1,0,0,100
Stryker 1,0,0,100
Brunot Island 1A,0,0,100
Brunot Island 1B,0,0,100
Brunot Island 1C,0,0,100
Brunot Island 2B,0,0,100
Brunot Island 4,0,0,100
Brunot Island 2A,0,0,100
Brunot Island 3,0,0,100
Elrama 4,0,0,100
Elrama 1,0,0,100
Elrama 3,0,0,100
Elrama 2,0,0,100
Hamilton 1,0,0,100
Hunterstown 3,0,0,100
Hunterstown 2,0,0,100
Hunterstown 1,0,0,100
Mountain 2,0,0,100
Mountain 1,0,0,100
Orrtanna 1,0,0,100
Portland 4,0,0,100
Portland 1,0,0,100
Portland 2,0,0,100
Portland 3,0,0,100
Portland 5,0,0,100
Shawnee 1,0,0,100
Titus 5,0,0,100
Titus 4,0,0,100
Tolna 2,0,0,100
Tolna 1,0,0,100
York Haven Hydro,0,0,100
Conemaugh Diesel B,0,0,100
Conemaugh Diesel D,0,0,100
Conemaugh Diesel A,0,0,100
Conemaugh 2,0,0,100
Conemaugh Diesel C,0,0,100
Conemaugh 1,0,0,100
Blossburg CT,0,0,100
Homer City 3,0,0,100
Homer City 2,0,0,100
Homer City 1,0,0,100
Piney 2,0,0,100
Piney 1,0,0,100
Piney 3,0,0,100
Seward 1,0,0,100
Shawville 3,0,0,100
Shawville 7,0,0,100
Shawville 5,0,0,100
Shawville 1,0,0,100
Shawville 6,0,0,100
Shawville 4,0,0,100
Shawville 2,0,0,100
Warren CT,0,0,100
Keystone 2,0,0,100
Keystone Diesel 6,0,0,100
Keystone 1,0,0,100
Keystone Diesel 5,0,0,100
Keystone Diesel 3,0,0,100
Keystone Diesel 4,0,0,100
New Castle 5,0,0,100
New Castle 4,0,0,100
New Castle 3,0,0,100
New Castle EMD B,0,0,100
New Castle EMD A,0,0,100
Allentown 4,0,0,100
Allentown 2,0,0,100
Allentown 1,0,0,100
Allentown 3,0,0,100
Brunner Island Diesel 1,0,0,100
Brunner Island Diesel 3,0,0,100
Brunner Island 2,0,0,100
Brunner Island 3,0,0,100
Brunner Island Diesel 2,0,0,100
Brunner Island 1,0,0,100
Fishbach 2,0,0,100
Fishbach 1,0,0,100
Harrisburg 1,0,0,100
Harrisburg 4,0,0,100
Harrisburg 3,0,0,100
Harrisburg 2,0,0,100
Harwood 1,0,0,100
Harwood 2,0,0,100
Holtwood 01,0,0,100
Holtwood 03,0,0,100
Holtwood 13,0,0,100
Holtwood 02,0,0,100
Holtwood 05,0,0,100
Holtwood 11,0,0,100
Holtwood 04,0,0,100
Holtwood 08,0,0,100
Holtwood 09,0,0,100
Holtwood 06,0,0,100
Holtwood 10,0,0,100
Holtwood 07,0,0,100
Jenkins(Georgetown) 2,0,0,100
Jenkins(Georgetown) 1,0,0,100
Lockhaven 1,0,0,100
Martins Creek CTG 3,0,0,100
Martins Creek CTG 4,0,0,100
Martins Creek 4,0,0,100
Martins Creek CTG 2,0,0,100
Martins Creek CTG 1,0,0,100
Martins Creek 3,0,0,100
Montour 2,0,0,100
Montour 1,0,0,100
Montour ATG,0,0,100
Sunbury CTG 2,0,0,100
Sunbury Diesel 1,0,0,100
Sunbury Diesel 2,0,0,100
Sunbury 1,0,0,100
Sunbury CTG 1,0,0,100
Sunbury 2,0,0,100
Sunbury 4,0,0,100
Sunbury 3,0,0,100
Wallenpaupack 2,0,0,100
Wallenpaupack 1,0,0,100
West Shore 1,0,0,100
West Shore 2,0,0,100
Williamsport 1,0,0,100
Williamsport 2,0,0,100
Chester 9,0,0,100
Chester 8,0,0,100
Chester 7,0,0,100
Delaware 12,0,0,100
Delaware 11,0,0,100
Delaware 09,0,0,100
Delaware 10,0,0,100
Eddystone 10,0,0,100
Eddystone 30,0,0,100
Eddystone 20,0,0,100
Eddystone 04,0,0,100
Eddystone 40,0,0,100
Eddystone 03,0,0,100
Falls 2,0,0,100
Falls 1,0,0,100
Falls 3,0,0,100
Moser 2,0,0,100
Moser 3,0,0,100
Moser 1,0,0,100
Muddy Run 2,0,0,100
Muddy Run 3,0,0,100
Muddy Run 1,0,0,100
Muddy Run 4,0,0,100
Muddy Run 5,0,0,100
Muddy Run 7,0,0,100
Muddy Run 8,0,0,100
Muddy Run 6,0,0,100
Peach Bottom 3,0,0,100
Peach Bottom 2,0,0,100
Richmond 91,0,0,100
Richmond 92,0,0,100
Schuylkill 10,0,0,100
Schuylkill 11,0,0,100
Southwark 6,0,0,100
Southwark 3,0,0,100
Southwark 4,0,0,100
Southwark 5,0,0,100
Safe Harbor 08,0,0,100
Safe Harbor 05,0,0,100
Safe Harbor 10,0,0,100
Safe Harbor 09,0,0,100
Safe Harbor 07,0,0,100
Safe Harbor 01,0,0,100
Safe Harbor 11,0,0,100
Safe Harbor 06,0,0,100
Safe Harbor 12,0,0,100
Safe Harbor 04,0,0,100
Safe Harbor 02,0,0,100
Safe Harbor 03,0,0,100
Hunlock 3,0,0,100
Hunlock 5,0,0,100
Hunlock 6,0,0,100
Cordell Hull 3,0,0,100
Cordell Hull 1,0,0,100
Cordell Hull 2,0,0,100
Dale Hollow 3,0,0,100
Dale Hollow 2,0,0,100
Dale Hollow 1,0,0,100
Old Hickory 1,0,0,100
Old Hickory 2,0,0,100
Old Hickory 3,0,0,100
Old Hickory 4,0,0,100
J Percy Priest,0,0,100
Buck 1,0,0,100
Buck 3,0,0,100
Buck 2,0,0,100
Byllesby 1,0,0,100
Byllesby 3,0,0,100
Byllesby 2,0,0,100
Byllesby 4,0,0,100
Claytor 2,0,0,100
Claytor 3,0,0,100
Claytor 4,0,0,100
Claytor 1,0,0,100
Clinch River 2,0,0,100
Clinch River 1,0,0,100
Clinch River 3,0,0,100
Glen Lyn 5,0,0,100
Glen Lyn 6,0,0,100
Leesville 2,0,0,100
Leesville 1,0,0,100
Niagara 1,0,0,100
Niagara 2,0,0,100
Reusens 5,0,0,100
Reusens 2,0,0,100
Reusens 3,0,0,100
Reusens 4,0,0,100
Reusens 1,0,0,100
Smith Mtn 3,0,0,100
Smith Mtn 5,0,0,100
Smith Mtn 1,0,0,100
Smith Mtn 4,0,0,100
Smith Mtn 2,0,0,100
Bayview 16,0,0,100
Tasley 10,0,0,100
Bremo 3,0,0,100
Bremo 4,0,0,100
Chesterfield 6,0,0,100
Chesterfield 4,0,0,100
Chesterfield 3,0,0,100
Chesterfield 5,0,0,100
Chesterfield 7,0,0,100
Chesterfield 8,0,0,100
Cushaw 1,0,0,100
Low Moor GT 1,0,0,100
Low Moor GT 2,0,0,100
Low Moor GT 4,0,0,100
Low Moor GT 3,0,0,100
Northern Neck GT 2,0,0,100
Northern Neck GT 3,0,0,100
Northern Neck GT 1,0,0,100
Northern Neck GT 4,0,0,100
Chesapeake GT4,0,0,100
Chesapeake GT1,0,0,100
Chesapeake 1,0,0,100
Chesapeake 2,0,0,100
Chesapeake GT6,0,0,100
Chesapeake 4,0,0,100
Chesapeake 3,0,0,100
Chesapeake GT2,0,0,100
Possum Point GT 2,0,0,100
Possum Point GT 4,0,0,100
Possum Point GT 1,0,0,100
Possum Point 5,0,0,100
Possum Point GT 3,0,0,100
Possum Point 4,0,0,100
Possum Point 3,0,0,100
Possum Point GT 6,0,0,100
Possum Point GT 5,0,0,100
Possum Point 6,0,0,100
Surry 2,0,0,100
Surry 1,0,0,100
Yorktown 1,0,0,100
Yorktown 2,0,0,100
Yorktown 3,0,0,100
Kerr Dam 2,0,0,100
Kerr Dam 5,0,0,100
Kerr Dam 4,0,0,100
Kerr Dam 3,0,0,100
Kerr Dam 6,0,0,100
Kerr Dam 7,0,0,100
Kerr Dam 1,0,0,100
Philpott 1,0,0,100
Philpott 3,0,0,100
Philpott 2,0,0,100
Joliet 7,0,0,100
Joliet 8,0,0,100
Amos 1,0,0,100
Amos 3,0,0,100
Amos 2,0,0,100
Kanawha Rv 2,0,0,100
Kanawha Rv 1,0,0,100
Sporn 4,0,0,100
Sporn 2,0,0,100
Sporn 1,0,0,100
Sporn 3,0,0,100
WVU/MEA,0,0,100
Fort Martin 2,0,0,100
Fort Martin 1,0,0,100
Harrison 2,0,0,100
Harrison 3,0,0,100
Harrison 1,0,0,100
Kammer Block 200,0,0,100
Kammer 1,0,0,100
Kammer 3,0,0,100
Kammer 2,0,0,100
Mitchell (AEP) 1,0,0,100
Mitchell (AEP) 2,0,0,100
Mount Storm 3,0,0,100
Mount Storm 2,0,0,100
Mount Storm GT 1,0,0,100
Mount Storm 1,0,0,100
Easton 21,0,0,100
Easton201,0,0,100
Easton 24,0,0,100
Easton202,0,0,100
Easton 23,0,0,100
Easton 204,0,0,100
Easton 22,0,0,100
Easton 203,0,0,100
Greenup 1,0,0,100
Greenup 2,0,0,100
Greenup 3,0,0,100
Glen Ferris 6 (Hawks Nest),0,0,100
Glen Ferris 2 (Hawks Nest),0,0,100
Glen Ferris 5 (Hawks Nest),0,0,100
Glen Ferris 1 (Hawks Nest),0,0,100
Glen Ferris 4 (Hawks Nest),0,0,100
Glen Ferris 3 (Hawks Nest),0,0,100
Glen Ferris 7 (Hawks Nest),0,0,100
Glen Ferris 8 (Hawks Nest),0,0,100
Hannibal Dam,0,0,100
NEPCO NUG,0,0,100
MH50 (Sunoil),0,0,100
York County RR NUG,0,0,100
Archbald,0,0,100
PEI 5,0,0,100
Archbald 2,0,0,100
PEI 6,0,0,100
Paxton Creek NUG,0,0,100
Newark Bay COGEN,0,0,100
Glatfelter NUG,0,0,100
Kimberly Clark,0,0,100
Bayonne COGEN NUG,0,0,100
Rosemary 1,0,0,100
Eagle Point COGEN NUG,0,0,100
Pottstown 1,0,0,100
Westwood 1,0,0,100
Mobil NUG (BtM),0,0,100
MCRRF1,0,0,100
Covanta Fairfax 1 (Ogden Martin),0,0,100
Panther Creek NUG,0,0,100
Parlin ST1,0,0,100
Parlin CT1,0,0,100
Parlin CT2,0,0,100
Parlin ST2,0,0,100
Cumberland CT 2,0,0,100
Cumberland CT 1,0,0,100
Marcal NUG,0,0,100
Lancaster County RR NUG,0,0,100
Wheelabrator-Frackville NUG,0,0,100
Gloucester NUG,0,0,100
Northampton,0,0,100
ALD 6,0,0,100
PE Hydro,0,0,100
ALD 5,0,0,100
Union County Resource Recovery,0,0,100
Bellmeade,0,0,100
Scrubgrass NUG,0,0,100
Mecklenburg 1 (Buggs Is),0,0,100
Mecklenburg 2 (Buggs Is),0,0,100
Doswell CC2 (4Rivers5),0,0,100
Doswell CC1 (4Rivers5),0,0,100
Doswell CT (4Rivers1),0,0,100
Yough Dam NUG,0,0,100
I95 LF Phase I,0,0,100
Great Falls Hydro NUG,0,0,100
Elizabeth River 2,0,0,100
Elizabeth River 1,0,0,100
Elizabeth River 3,0,0,100
Pittsylvania (Hurt),0,0,100
North Wales D 1,0,0,100
Conemaugh Hydro NUG,0,0,100
Gude LF,0,0,100
Smith CT 3,0,0,100
Smith CT 10,0,0,100
Smith CT 5,0,0,100
Smith CT 6,0,0,100
Smith CT 1,0,0,100
Smith CT 4,0,0,100
Smith CT 7,0,0,100
Smith CT 9,0,0,100
Smith CT 2,0,0,100
Rensselaer Cogen,0,0,100
Roanoke Valley 1,0,0,100
Spruance 3 (Richmond),0,0,100
Spruance 1 (Richmond),0,0,100
Spruance 2 (Richmond),0,0,100
Spruance 4 (Richmond),0,0,100
Birchwood 1,0,0,100
Covanta Plymouth (Montenay),0,0,100
Schuylkill Energy NUG,0,0,100
Willamette (PennTech)(Domtar),0,0,100
Lakewood NUG,0,0,100
Cat Tractor NUG,0,0,100
I95 LF Phase II,0,0,100
Wheelabrator Falls NUG,0,0,100
Roanoke Valley 2,0,0,100
Dinwiddie Diesel,0,0,100
Weakley Diesel,0,0,100
Grays Ferry Cogen,0,0,100
Panda,0,0,100
Gordonsville 1 (So.Anna),0,0,100
Gordonsville 2 (So.Anna),0,0,100
Santeetlah 2,0,0,100
Santeetlah 1,0,0,100
Cheoah 5,0,0,100
Cheoah 4,0,0,100
Cheoah 3,0,0,100
Cheoah 1,0,0,100
Cheoah 2,0,0,100
Calderwood 2,0,0,100
Calderwood 1,0,0,100
Calderwood 3,0,0,100
Chilhowee 1,0,0,100
Chilhowee 2,0,0,100
Chilhowee 3,0,0,100
Keystone NUG,0,0,100
Manchester,0,0,100
Ocean County LF,0,0,100
Lakeview,0,0,100
Rocky Road CT 33,0,0,100
Rocky Road CT 31,0,0,100
Rocky Road CT 34,0,0,100
Rocky Road CT 32,0,0,100
Madison 1,0,0,100
Kendall 2,0,0,100
Kendall 4,0,0,100
Kendall 3,0,0,100
Kendall 1,0,0,100
Bluegrass CT 2,0,0,100
Bluegrass CT 3,0,0,100
Bluegrass CT 1,0,0,100
Cordova ST 1,0,0,100
Cordova CT 2,0,0,100
Cordova CT 1,0,0,100
Ontelaunee ST 1,0,0,100
Ontelaunee CT 2,0,0,100
Ontelaunee CT 1,0,0,100
Springdale 1 (AE1),0,0,100
Springdale 2 (AE2),0,0,100
Foothills 5 (Zelda 5),0,0,100
Foothills 4 (Zelda 4),0,0,100
Elwood 4,0,0,100
Elwood 5,0,0,100
Elwood 8,0,0,100
Elwood 7,0,0,100
Elwood 1,0,0,100
Elwood 2,0,0,100
Elwood 3,0,0,100
Elwood 9,0,0,100
Elwood 6,0,0,100
Morris CT1 (Equistar),0,0,100
Morris CT2 (Equistar),0,0,100
Morris ST1 (Equistar),0,0,100
Morris CT3 (Equistar),0,0,100
Greenville 1,0,0,100
Greenville 2,0,0,100
Greenville 3,0,0,100
Greenville 4,0,0,100
Liberty CT2,0,0,100
Liberty CT1,0,0,100
Liberty CC3,0,0,100
Handsome Lake 2,0,0,100
Handsome Lake 1,0,0,100
Handsome Lake 3,0,0,100
Handsome Lake 5,0,0,100
Handsome Lake 4,0,0,100
Lee County 8,0,0,100
Lee County 7,0,0,100
Lee County 5,0,0,100
Lee County 1,0,0,100
Lee County 6,0,0,100
Lee County 2,0,0,100
Lee County 3,0,0,100
Lee County 4,0,0,100
Rockford 1/11,0,0,100
Rockford 1/12,0,0,100
Red Oak Plant,0,0,100
Darby 1,0,0,100
Darby 5,0,0,100
Darby 3,0,0,100
Darby 6,0,0,100
Darby 2,0,0,100
Darby 4,0,0,100
Tait GT 7,0,0,100
Tait GT 4,0,0,100
Tait GT 6,0,0,100
Tait GT 5,0,0,100
University Park 3 CT (South),0,0,100
University Park 1 CT (South),0,0,100
University Park 2 CT (South),0,0,100
University Park 5 CT (South),0,0,100
University Park 4 CT (South),0,0,100
University Park 6 CT (South),0,0,100
Crete CT 4,0,0,100
Crete CT 2,0,0,100
Crete CT 1,0,0,100
Crete CT 3,0,0,100
Ceredo 6,0,0,100
Ceredo 4,0,0,100
Ceredo 3,0,0,100
Ceredo 2,0,0,100
Ceredo 1,0,0,100
Ceredo 5,0,0,100
Aurora  6,0,0,100
Aurora  8,0,0,100
Aurora  3,0,0,100
Aurora  7,0,0,100
Aurora  9,0,0,100
Aurora  4,0,0,100
Aurora  5,0,0,100
Aurora  2,0,0,100
Aurora 10,0,0,100
Aurora  1,0,0,100
Southeast Chicago CT 12,0,0,100
Southeast Chicago CT 10,0,0,100
Southeast Chicago CT 5,0,0,100
Southeast Chicago CT 8,0,0,100
Southeast Chicago CT 11,0,0,100
Southeast Chicago CT 9,0,0,100
Southeast Chicago CT 7,0,0,100
Southeast Chicago CT 6,0,0,100
Wolf Hills 4,0,0,100
Wolf Hills 5,0,0,100
Wolf Hills 3,0,0,100
Wolf Hills 1,0,0,100
Wolf Hills 2,0,0,100
Morgan ST 1,0,0,100
Morgan CT 1,0,0,100
Morgan CT 2,0,0,100
Morgan CT 3,0,0,100
River Energy CT 1 (Calumet),0,0,100
River Energy CT 2 (Calumet),0,0,100
New Covert 2,0,0,100
