timepoint,Gen_Index,available
1,Mottville 3,1.0
1,Clinton 1,1.0
1,England Diesel 4,0.0
1,England Diesel 2,0.0
1,England Diesel 3,0.0
1,England 2,1.0
1,England Diesel 1,0.0
1,England 1,0.0
1,England 3,1.0
1,Carll s Corner 1,0.0
1,Carll s Corner 2,0.0
1,Cedar Station 2,1.0
1,Cedar Station 1,1.0
1,Middle Station 1,1.0
1,Middle Station 3,0.0
1,Middle Station 2,1.0
1,Missouri Ave C,0.0
1,Missouri Ave B,1.0
1,Missouri Ave D,0.0
1,Deepwater 1,0.0
1,Deepwater 6/8,0.0
1,Werner C3,0.0
1,Werner C2,0.0
1,Werner C4,0.0
1,Werner C1,0.0
1,Oyster Creek 1,1.0
1,Sayreville C4,0.0
1,Sayreville C3,0.0
1,Sayreville C1,0.0
1,Sayreville C2,0.0
1,Gilbert 6,0.0
1,Gilbert C4,0.0
1,Gilbert C3,0.0
1,Gilbert C1,0.0
1,Gilbert 7,0.0
1,Gilbert 5,0.0
1,Gilbert 4,1.0
1,Gilbert C2,0.0
1,Gilbert CT 9,0.0
1,Gilbert 8CC,0.0
1,Bergen 3,0.0
1,Bergen 2CC,1.0
1,Bergen 1CC,0.786982222
1,Burlington 092,0.0
1,Burlington 093,0.0
1,Burlington 124,1.0
1,Burlington 091,0.0
1,Burlington 112,0.0
1,Burlington 123,1.0
1,Burlington 113,0.0
1,Burlington 008,0.0
1,Burlington 122,1.0
1,Burlington 111,0.0
1,Burlington 094,0.0
1,Burlington 114,0.0
1,Burlington 121,1.0
1,Edison 32,1.0
1,Edison 34,1.0
1,Edison 13,0.0
1,Edison 31,1.0
1,Edison 24,0.0
1,Edison 14,0.0
1,Edison 33,1.0
1,Edison 21,0.0
1,Edison 12,0.0
1,Edison 11,0.0
1,Edison 22,0.0
1,Edison 23,0.0
1,Essex 123,0.0
1,Essex 122,0.0
1,Essex 114,0.0
1,Essex 103,0.0
1,Essex 121,0.0
1,Essex 101,0.0
1,Essex 9,1.0
1,Essex 104,0.0
1,Essex 124,0.0
1,Essex 112,0.0
1,Essex 111,0.0
1,Essex 113,0.0
1,Essex 102,0.0
1,Hudson 2,0.0
1,Kearney 133,1.0
1,Kearney 132,1.0
1,Kearney 134,1.0
1,Kearney 142,1.0
1,Kearney 124,1.0
1,Kearney 131,1.0
1,Kearney 09,0.0
1,Kearney 122,1.0
1,Kearney 121,1.0
1,Kearney 141,1.0
1,Kearney 123,1.0
1,Linden 1,0.480634624
1,Linden 2,1.0
1,Linden 8,0.0
1,Linden 7,0.0
1,Linden 6,1.0
1,Linden 5,1.0
1,Mercer 1,0.0
1,Mercer 2,0.0
1,Mercer 3,0.0
1,National Park,0.0
1,Salem 1,1.0
1,Salem 3,0.0
1,Salem 2,1.0
1,Sewaren 1,0.0
1,Sewaren 2,0.0
1,Sewaren 6,0.0
1,Sewaren 3,0.0
1,Sewaren 4,0.0
1,Vineland CT 11,1.0
1,Gaston 4,0.0
1,Gaston 2,0.0
1,Gaston 1,0.0
1,Gaston 3,0.0
1,Roanoke Rapids 1,1.0
1,Roanoke Rapids 3,0.0
1,Roanoke Rapids 4,0.0
1,Roanoke Rapids 2,0.0
1,Buxton 3,0.0
1,Buxton 1,0.0
1,Buxton 2,0.0
1,Buxton 5,0.0
1,Buxton 4,0.0
1,Cardinal 1,0.0
1,Cardinal 3,0.0
1,Cardinal 2,0.891666667
1,Beckjord 5,0.918487395
1,Beckjord GT 4,1.0
1,Beckjord GT 1,1.0
1,Beckjord 6,0.935714286
1,Beckjord 4,0.0
1,Beckjord GT 3,1.0
1,Beckjord GT 2,0.0
1,Dicks Creek 5,0.0
1,Dicks Creek 4,0.0
1,Dicks Creek 3,0.0
1,Dicks Creek 1,0.0
1,Miami Fort 6,0.0
1,Miami Fort GT 4,0.0
1,Miami Fort GT 3,0.0
1,Miami Fort 7,1.0
1,Miami Fort GT 5,0.0
1,Miami Fort 8,1.0
1,Miami Fort GT 6,0.0
1,Ashtabula 5,0.26119402999999997
1,Avon Lake 7,1.0
1,Avon Lake 10,0.0
1,Avon Lake 9,1.0
1,Eastlake 2,1.0
1,Eastlake 6 CT,0.0
1,Eastlake 3,1.0
1,Eastlake 1,1.0
1,Lake Shore D2,0.0
1,Lake Shore 18,0.652985075
1,Lake Shore D1,0.0
1,Conesville 6,1.0
1,Conesville 4,0.641025641
1,Conesville 5,1.0
1,Picway 5,0.0
1,Tait GT 2,0.0
1,Tait GT 3,0.0
1,Tait GT 1,0.0
1,Tait D 4,0.0
1,Tait D 1,0.0
1,Tait D 3,0.0
1,Tait D 2,0.0
1,Hutchings CT 7,0.0
1,Hutchings 3,0.0
1,Hutchings 6,0.0
1,Hutchings 1,0.0
1,Hutchings 2,0.0
1,Hutchings 5,0.0
1,Stuart 1,0.8666666670000001
1,Stuart 4,0.924914684
1,Stuart 2,1.0
1,Stuart D 2,0.0
1,Stuart D 1,0.0
1,Stuart 3,0.0
1,Stuart D 4,0.0
1,Stuart D 3,0.0
1,Monument D 3,0.0
1,Monument D 5,0.0
1,Monument D 2,0.0
1,Monument D 1,0.0
1,Monument D 4,0.0
1,Sidney D 3,0.0
1,Sidney D 2,0.0
1,Sidney D 4,0.0
1,Sidney D 1,0.0
1,Sidney D 5,0.0
1,Yankee GT 4,0.0
1,Yankee GT 7,0.0
1,Yankee GT 5,0.0
1,Yankee GT 2,0.0
1,Yankee GT 1,0.0
1,Yankee GT 6,0.0
1,Yankee GT 3,0.0
1,Niles CT A,0.0
1,Burger B2,0.0
1,Burger B1,0.0
1,Burger A,0.0
1,Sammis B2,0.0
1,Sammis B3,0.0
1,Sammis 3,1.0
1,Sammis 6,0.683333333
1,Sammis 2,1.0
1,Sammis 1,1.0
1,Sammis A,0.0
1,Sammis 5,0.966666667
1,Sammis B1,0.0
1,Sammis 4,1.0
1,Sammis B4,0.0
1,Sammis 7,1.0
1,West Lorain 2,1.0
1,West Lorain A (Beaver),0.0
1,West Lorain 4,0.0
1,West Lorain B (Beaver),0.0
1,West Lorain 5,0.0
1,West Lorain 3,1.0
1,West Lorain 6,1.0
1,Muskigum Rv 1,0.0
1,Muskigum Rv 2,0.0
1,Muskigum Rv 4,0.0
1,Muskigum Rv 5,1.0
1,Muskigum Rv 3,0.523560209
1,Kyger Creek 5,1.0
1,Kyger Creek 1,1.0
1,Kyger Creek 3,0.735121951
1,Kyger Creek 2,1.0
1,Kyger Creek 4,1.0
1,Bay Shore 1,0.0
1,Bay Shore CT,0.0
1,Richland 6,0.0
1,Richland 2,0.0
1,Richland 5,0.0
1,Richland 4,0.0
1,Richland 3,0.0
1,Richland 1,0.0
1,Stryker 1,0.0
1,Brunot Island 1A,0.0
1,Brunot Island 1B,0.0
1,Brunot Island 1C,0.0
1,Brunot Island 2B,0.0
1,Brunot Island 4,0.0
1,Brunot Island 2A,0.0
1,Brunot Island 3,0.0
1,Elrama 4,0.0
1,Elrama 1,0.0
1,Elrama 3,0.0
1,Elrama 2,0.0
1,Hamilton 1,1.0
1,Hunterstown 3,0.0
1,Hunterstown 2,1.0
1,Hunterstown 1,1.0
1,Mountain 2,0.0
1,Mountain 1,0.0
1,Orrtanna 1,1.0
1,Portland 4,0.0
1,Portland 1,0.0062892409999999455
1,Portland 2,0.0
1,Portland 3,0.0
1,Portland 5,1.0
1,Shawnee 1,0.0
1,Titus 5,0.0
1,Titus 4,0.0
1,Tolna 2,1.0
1,Tolna 1,1.0
1,York Haven Hydro,0.30000000000000004
1,Conemaugh Diesel B,0.0
1,Conemaugh Diesel D,0.0
1,Conemaugh Diesel A,0.0
1,Conemaugh 2,1.0
1,Conemaugh Diesel C,0.0
1,Conemaugh 1,1.0
1,Blossburg CT,0.0
1,Homer City 3,1.0
1,Homer City 2,0.602605863
1,Homer City 1,1.0
1,Piney 2,1.0
1,Piney 1,1.0
1,Piney 3,1.0
1,Seward 1,0.961904762
1,Shawville 3,0.777777778
1,Shawville 7,0.0
1,Shawville 5,0.0
1,Shawville 1,1.0
1,Shawville 6,0.0
1,Shawville 4,1.0
1,Shawville 2,0.753846154
1,Warren CT,1.0
1,Keystone 2,0.854891816
1,Keystone Diesel 6,0.0
1,Keystone 1,1.0
1,Keystone Diesel 5,0.0
1,Keystone Diesel 3,0.0
1,Keystone Diesel 4,0.0
1,New Castle 5,1.0
1,New Castle 4,0.0
1,New Castle 3,1.0
1,New Castle EMD B,0.0
1,New Castle EMD A,0.0
1,Allentown 4,0.0
1,Allentown 2,0.0
1,Allentown 1,0.0
1,Allentown 3,0.0
1,Brunner Island Diesel 1,0.0
1,Brunner Island Diesel 3,0.0
1,Brunner Island 2,1.0
1,Brunner Island 3,1.0
1,Brunner Island Diesel 2,0.0
1,Brunner Island 1,1.0
1,Fishbach 2,0.0
1,Fishbach 1,0.0
1,Harrisburg 1,0.0
1,Harrisburg 4,0.0
1,Harrisburg 3,0.0
1,Harrisburg 2,0.0
1,Harwood 1,0.0
1,Harwood 2,0.0
1,Holtwood 01,0.0
1,Holtwood 03,1.0
1,Holtwood 13,1.0
1,Holtwood 02,1.0
1,Holtwood 05,1.0
1,Holtwood 11,1.0
1,Holtwood 04,1.0
1,Holtwood 08,1.0
1,Holtwood 09,1.0
1,Holtwood 06,1.0
1,Holtwood 10,1.0
1,Holtwood 07,1.0
1,Jenkins(Georgetown) 2,0.0
1,Jenkins(Georgetown) 1,0.0
1,Lockhaven 1,0.0
1,Martins Creek CTG 3,0.0
1,Martins Creek CTG 4,0.0
1,Martins Creek 4,0.871764706
1,Martins Creek CTG 2,0.0
1,Martins Creek CTG 1,0.0
1,Martins Creek 3,0.470588235
1,Montour 2,1.0
1,Montour 1,0.929133863
1,Montour ATG,0.0
1,Sunbury CTG 2,0.0
1,Sunbury Diesel 1,0.0
1,Sunbury Diesel 2,0.0
1,Sunbury 1,0.0
1,Sunbury CTG 1,0.0
1,Sunbury 2,0.0
1,Sunbury 4,0.0
1,Sunbury 3,0.0
1,Wallenpaupack 2,1.0
1,Wallenpaupack 1,1.0
1,West Shore 1,0.0
1,West Shore 2,0.0
1,Williamsport 1,0.0
1,Williamsport 2,0.0
1,Chester 9,0.0
1,Chester 8,0.0
1,Chester 7,0.0
1,Delaware 12,0.0
1,Delaware 11,0.0
1,Delaware 09,0.0
1,Delaware 10,0.0
1,Eddystone 10,0.0
1,Eddystone 30,0.0
1,Eddystone 20,0.0
1,Eddystone 04,0.0
1,Eddystone 40,0.0
1,Eddystone 03,0.0
1,Falls 2,0.0
1,Falls 1,0.0
1,Falls 3,0.0
1,Moser 2,0.0
1,Moser 3,0.0
1,Moser 1,0.0
1,Muddy Run 2,0.0
1,Muddy Run 3,0.0
1,Muddy Run 1,0.0
1,Muddy Run 4,1.0
1,Muddy Run 5,0.0
1,Muddy Run 7,1.0
1,Muddy Run 8,0.0
1,Muddy Run 6,1.0
1,Peach Bottom 3,1.0
1,Peach Bottom 2,1.0
1,Richmond 91,0.0
1,Richmond 92,0.0
1,Schuylkill 10,0.0
1,Schuylkill 11,0.0
1,Southwark 6,0.0
1,Southwark 3,1.0
1,Southwark 4,0.0
1,Southwark 5,0.0
1,Safe Harbor 08,1.0
1,Safe Harbor 05,1.0
1,Safe Harbor 10,1.0
1,Safe Harbor 09,1.0
1,Safe Harbor 07,1.0
1,Safe Harbor 01,1.0
1,Safe Harbor 11,0.0
1,Safe Harbor 06,1.0
1,Safe Harbor 12,0.0
1,Safe Harbor 04,1.0
1,Safe Harbor 02,1.0
1,Safe Harbor 03,1.0
1,Hunlock 3,1.0
1,Hunlock 5,1.0
1,Hunlock 6,1.0
1,Cordell Hull 3,1.0
1,Cordell Hull 1,1.0
1,Cordell Hull 2,1.0
1,Dale Hollow 3,1.0
1,Dale Hollow 2,1.0
1,Dale Hollow 1,1.0
1,Old Hickory 1,1.0
1,Old Hickory 2,1.0
1,Old Hickory 3,1.0
1,Old Hickory 4,0.0
1,J Percy Priest,1.0
1,Buck 1,0.0
1,Buck 3,1.0
1,Buck 2,1.0
1,Byllesby 1,0.0
1,Byllesby 3,0.0
1,Byllesby 2,0.0
1,Byllesby 4,0.0
1,Claytor 2,0.0
1,Claytor 3,1.0
1,Claytor 4,1.0
1,Claytor 1,1.0
1,Clinch River 2,0.258509263
1,Clinch River 1,0.581645842
1,Clinch River 3,0.7324429130000001
1,Glen Lyn 5,0.0
1,Glen Lyn 6,0.75
1,Leesville 2,1.0
1,Leesville 1,0.0
1,Niagara 1,0.0
1,Niagara 2,0.0
1,Reusens 5,0.0
1,Reusens 2,0.0
1,Reusens 3,0.0
1,Reusens 4,0.0
1,Reusens 1,0.0
1,Smith Mtn 3,0.0
1,Smith Mtn 5,0.0
1,Smith Mtn 1,0.0
1,Smith Mtn 4,0.0
1,Smith Mtn 2,1.0
1,Bayview 16,0.76
1,Tasley 10,0.0
1,Bremo 3,0.0
1,Bremo 4,0.0
1,Chesterfield 6,1.0
1,Chesterfield 4,1.0
1,Chesterfield 3,1.0
1,Chesterfield 5,0.0
1,Chesterfield 7,1.0
1,Chesterfield 8,1.0
1,Cushaw 1,1.0
1,Low Moor GT 1,0.0
1,Low Moor GT 2,0.0
1,Low Moor GT 4,0.0
1,Low Moor GT 3,0.0
1,Northern Neck GT 2,0.0
1,Northern Neck GT 3,0.0
1,Northern Neck GT 1,0.0
1,Northern Neck GT 4,0.0
1,Chesapeake GT4,0.0
1,Chesapeake GT1,0.0
1,Chesapeake 1,1.0
1,Chesapeake 2,1.0
1,Chesapeake GT6,0.0
1,Chesapeake 4,1.0
1,Chesapeake 3,1.0
1,Chesapeake GT2,0.0
1,Possum Point GT 2,0.0
1,Possum Point GT 4,0.0
1,Possum Point GT 1,0.0
1,Possum Point 5,1.0
1,Possum Point GT 3,0.0
1,Possum Point 4,0.0
1,Possum Point 3,0.0
1,Possum Point GT 6,0.0
1,Possum Point GT 5,0.0
1,Possum Point 6,1.0
1,Surry 2,1.0
1,Surry 1,1.0
1,Yorktown 1,0.926380368
1,Yorktown 2,0.9244186050000001
1,Yorktown 3,0.920731707
1,Kerr Dam 2,1.0
1,Kerr Dam 5,1.0
1,Kerr Dam 4,1.0
1,Kerr Dam 3,1.0
1,Kerr Dam 6,1.0
1,Kerr Dam 7,1.0
1,Kerr Dam 1,1.0
1,Philpott 1,1.0
1,Philpott 3,1.0
1,Philpott 2,1.0
1,Joliet 7,1.0
1,Joliet 8,0.19305019299999993
1,Amos 1,0.6875
1,Amos 3,0.0
1,Amos 2,0.0
1,Kanawha Rv 2,1.0
1,Kanawha Rv 1,1.0
1,Sporn 4,0.573936529
1,Sporn 2,0.0
1,Sporn 1,0.34246572399999997
1,Sporn 3,0.924024641
1,WVU/MEA,0.94117648
1,Fort Martin 2,0.9499198
1,Fort Martin 1,0.969258587
1,Harrison 2,0.960122704
1,Harrison 3,1.0
1,Harrison 1,0.971021089
1,Kammer Block 200,1.0
1,Kammer 1,0.0
1,Kammer 3,0.0
1,Kammer 2,0.0
1,Mitchell (AEP) 1,0.925
1,Mitchell (AEP) 2,0.9
1,Mount Storm 3,0.839552239
1,Mount Storm 2,1.0
1,Mount Storm GT 1,0.0
1,Mount Storm 1,0.0
1,Easton 21,1.0
1,Easton201,0.0
1,Easton 24,1.0
1,Easton202,0.0
1,Easton 23,1.0
1,Easton 204,1.0
1,Easton 22,0.0
1,Easton 203,1.0
1,Greenup 1,1.0
1,Greenup 2,0.0
1,Greenup 3,0.0
1,Glen Ferris 6 (Hawks Nest),0.0
1,Glen Ferris 2 (Hawks Nest),0.0
1,Glen Ferris 5 (Hawks Nest),0.0
1,Glen Ferris 1 (Hawks Nest),1.0
1,Glen Ferris 4 (Hawks Nest),0.0
1,Glen Ferris 3 (Hawks Nest),1.0
1,Glen Ferris 7 (Hawks Nest),1.0
1,Glen Ferris 8 (Hawks Nest),1.0
1,Hannibal Dam,1.0
1,NEPCO NUG,1.0
1,MH50 (Sunoil),0.0
1,York County RR NUG,0.17849466700000005
1,Archbald,1.0
1,PEI 5,0.41304347799999996
1,Archbald 2,0.0
1,PEI 6,0.0
1,Paxton Creek NUG,0.0
1,Newark Bay COGEN,1.0
1,Glatfelter NUG,1.0
1,Kimberly Clark,1.0
1,Bayonne COGEN NUG,1.0
1,Rosemary 1,0.24797979799999992
1,Eagle Point COGEN NUG,0.0
1,Pottstown 1,0.19999999999999996
1,Westwood 1,1.0
1,Mobil NUG (BtM),1.0
1,MCRRF1,1.0
1,Covanta Fairfax 1 (Ogden Martin),0.827428571
1,Panther Creek NUG,1.0
1,Parlin ST1,0.0
1,Parlin CT1,0.0
1,Parlin CT2,0.0
1,Parlin ST2,0.0
1,Cumberland CT 2,1.0
1,Cumberland CT 1,0.0
1,Marcal NUG,0.0
1,Lancaster County RR NUG,0.533333333
1,Wheelabrator-Frackville NUG,1.0
1,Gloucester NUG,0.25
1,Northampton,1.0
1,ALD 6,1.0
1,PE Hydro,1.0
1,ALD 5,1.0
1,Union County Resource Recovery,1.0
1,Bellmeade,0.872659176
1,Scrubgrass NUG,1.0
1,Mecklenburg 1 (Buggs Is),1.0
1,Mecklenburg 2 (Buggs Is),1.0
1,Doswell CC2 (4Rivers5),1.0
1,Doswell CC1 (4Rivers5),1.0
1,Doswell CT (4Rivers1),0.0
1,Yough Dam NUG,1.0
1,I95 LF Phase I,0.966666667
1,Great Falls Hydro NUG,0.0
1,Elizabeth River 2,0.0
1,Elizabeth River 1,0.0
1,Elizabeth River 3,0.0
1,Pittsylvania (Hurt),0.86746988
1,North Wales D 1,0.0
1,Conemaugh Hydro NUG,0.4444445
1,Gude LF,1.0
1,Smith CT 3,1.0
1,Smith CT 10,1.0
1,Smith CT 5,1.0
1,Smith CT 6,1.0
1,Smith CT 1,0.0
1,Smith CT 4,1.0
1,Smith CT 7,1.0
1,Smith CT 9,1.0
1,Smith CT 2,1.0
1,Rensselaer Cogen,0.0
1,Roanoke Valley 1,1.0
1,Spruance 3 (Richmond),1.0
1,Spruance 1 (Richmond),1.0
1,Spruance 2 (Richmond),1.0
1,Spruance 4 (Richmond),1.0
1,Birchwood 1,1.0
1,Covanta Plymouth (Montenay),0.562857143
1,Schuylkill Energy NUG,1.0
1,Willamette (PennTech)(Domtar),1.0
1,Lakewood NUG,1.0
1,Cat Tractor NUG,0.0
1,I95 LF Phase II,0.7
1,Wheelabrator Falls NUG,0.10416666699999999
1,Roanoke Valley 2,1.0
1,Dinwiddie Diesel,0.0
1,Weakley Diesel,0.0
1,Grays Ferry Cogen,1.0
1,Panda,1.0
1,Gordonsville 1 (So.Anna),0.0
1,Gordonsville 2 (So.Anna),1.0
1,Santeetlah 2,1.0
1,Santeetlah 1,1.0
1,Cheoah 5,0.0
1,Cheoah 4,1.0
1,Cheoah 3,1.0
1,Cheoah 1,1.0
1,Cheoah 2,1.0
1,Calderwood 2,1.0
1,Calderwood 1,1.0
1,Calderwood 3,1.0
1,Chilhowee 1,1.0
1,Chilhowee 2,1.0
1,Chilhowee 3,1.0
1,Keystone NUG,1.0
1,Manchester,1.0
1,Ocean County LF,1.0
1,Lakeview,0.7166665999999999
1,Rocky Road CT 33,0.0
1,Rocky Road CT 31,0.0
1,Rocky Road CT 34,0.0
1,Rocky Road CT 32,0.0
1,Madison 1,1.0
1,Kendall 2,1.0
1,Kendall 4,1.0
1,Kendall 3,1.0
1,Kendall 1,1.0
1,Bluegrass CT 2,0.0
1,Bluegrass CT 3,0.0
1,Bluegrass CT 1,0.0
1,Cordova ST 1,0.0
1,Cordova CT 2,0.0
1,Cordova CT 1,0.0
1,Ontelaunee ST 1,0.0
1,Ontelaunee CT 2,0.0
1,Ontelaunee CT 1,0.0
1,Springdale 1 (AE1),0.0
1,Springdale 2 (AE2),1.0
1,Foothills 5 (Zelda 5),1.0
1,Foothills 4 (Zelda 4),1.0
1,Elwood 4,0.0
1,Elwood 5,0.0
1,Elwood 8,0.0
1,Elwood 7,0.0
1,Elwood 1,0.0
1,Elwood 2,0.0
1,Elwood 3,0.0
1,Elwood 9,0.0
1,Elwood 6,0.0
1,Morris CT1 (Equistar),1.0
1,Morris CT2 (Equistar),1.0
1,Morris ST1 (Equistar),1.0
1,Morris CT3 (Equistar),1.0
1,Greenville 1,0.0
1,Greenville 2,0.0
1,Greenville 3,0.0
1,Greenville 4,0.0
1,Liberty CT2,1.0
1,Liberty CT1,1.0
1,Liberty CC3,1.0
1,Handsome Lake 2,0.0
1,Handsome Lake 1,0.0
1,Handsome Lake 3,0.0
1,Handsome Lake 5,0.0
1,Handsome Lake 4,0.0
1,Lee County 8,0.0
1,Lee County 7,0.0
1,Lee County 5,0.0
1,Lee County 1,0.0
1,Lee County 6,0.0
1,Lee County 2,0.0
1,Lee County 3,0.0
1,Lee County 4,0.0
1,Rockford 1/11,0.0
1,Rockford 1/12,0.0
1,Red Oak Plant,1.0
1,Darby 1,0.0
1,Darby 5,0.0
1,Darby 3,0.0
1,Darby 6,0.0
1,Darby 2,0.0
1,Darby 4,0.0
1,Tait GT 7,0.0
1,Tait GT 4,0.0
1,Tait GT 6,0.0
1,Tait GT 5,0.0
1,University Park 3 CT (South),0.0
1,University Park 1 CT (South),0.0
1,University Park 2 CT (South),0.0
1,University Park 5 CT (South),0.0
1,University Park 4 CT (South),0.0
1,University Park 6 CT (South),0.0
1,Crete CT 4,0.0
1,Crete CT 2,0.0
1,Crete CT 1,0.0
1,Crete CT 3,0.0
1,Ceredo 6,0.0
1,Ceredo 4,0.0
1,Ceredo 3,1.0
1,Ceredo 2,1.0
1,Ceredo 1,1.0
1,Ceredo 5,0.0
1,Aurora  6,0.0
1,Aurora  8,0.0
1,Aurora  3,0.0
1,Aurora  7,0.0
1,Aurora  9,0.0
1,Aurora  4,0.0
1,Aurora  5,0.0
1,Aurora  2,0.0
1,Aurora 10,0.0
1,Aurora  1,0.0
1,Southeast Chicago CT 12,0.0
1,Southeast Chicago CT 10,0.0
1,Southeast Chicago CT 5,0.0
1,Southeast Chicago CT 8,0.0
1,Southeast Chicago CT 11,0.0
1,Southeast Chicago CT 9,0.0
1,Southeast Chicago CT 7,0.0
1,Southeast Chicago CT 6,0.0
1,Wolf Hills 4,1.0
1,Wolf Hills 5,1.0
